eng	fra
I like cities.	J'aime les villes.
I saw her home.	Je l'ai vue à la maison.
The girls won.	Les filles ont gagné.
I made that one.	J'ai réalisé celle-là.
Get some sleep.	Prends un peu de sommeil.
Release him.	Relâche-le !
I'm fascinated.	Je suis fasciné.
You're creepy.	Tu es sinistre.
Mary is cute.	Marie est mignonne.
I handled it.	Je m'en suis occupé.
Isn't that true?	N'est-ce pas vrai ?
Be nice.	Soyez gentille !
I want the best.	Je veux le meilleur.
You'll go far.	Tu iras loin.
It's too easy.	C'est trop facile.
Thanks so much.	Merci bien.
Is this love?	Serait-ce de l'amour ?
She never reads.	Elle ne lit jamais.
This is funny.	C'est drôle.
I was not drunk.	Je n’étais pas saoul.
It was horrible.	Ça a été horrible.
I felt guilty.	Je me suis sentie coupable.
She's dieting.	Elle fait un régime.
She trusted you.	Elle avait confiance en toi.
Want a drink?	Veux-tu un verre ?
We need rules.	Il nous faut des règles.
Come in already.	Entre, déjà !
What an idiot!	Quel idiot.
You're a prude.	Vous êtes un puritain.
Who says that?	Qui dit ça ?
You have to go.	Tu dois partir.
I'm motivated.	Je suis motivé.
I had some help.	J'ai reçu de l'aide.
Help us, please.	Aidez-nous, je vous prie !
Is this legal?	Est-ce légal ?
I've done that.	J'ai fait ça.
He is a doctor.	Il est médecin.
Grab that.	Saisissez-vous de ça !
Have a drink.	Prenez un verre !
I like winter.	J'adore l'hiver.
I baked a pie.	J'ai cuisiné une tarte.
It was too late.	Il était trop tard.
I get the idea.	Je pige.
It is a curse.	C'est une malédiction.
I saw the game.	J'ai vu le match.
He was cheating.	Il était en train de tricher.
She is quiet.	Elle est tranquille.
I quit my job.	J'ai démissionné de mon boulot.
He's a jerk.	C'est un pauvre type.
Take a breath.	Inspirez !
It's not pretty.	Ce n'est pas joli.
Am I not right?	N'ai-je pas raison ?
You're skinny.	Vous êtes maigrichons.
I hate dancing.	Je déteste danser.
I am sick.	Je suis malade.
Tom is hungry.	Tom a faim.
Who will pay?	Qui va payer ?
Is he tall?	Est-il grand ?
Hug Tom.	Fais un câlin à Tom.
I saw someone.	J'ai vu quelqu'un.
I need his name.	J'ai besoin de son nom.
Don't get angry.	Ne te fâche pas.
I'm beautiful.	Je suis belle.
Please sit down!	Veuillez vous asseoir !
Thanks again.	Encore une fois, merci.
Make me happy.	Rendez-moi heureuse.
I'm all yours.	Je suis toute à toi.
It's easy money.	C'est de l'argent facile.
I'm a farmer.	Je suis agriculteur.
He can't sing.	Il est incapable de chanter.
Am I wrong?	Est-ce que je me trompe ?
Come alone.	Venez seuls !
Just sign here.	Signez juste ici.
Don't be afraid.	N'aie pas peur !
He has a lunch.	Il dispose d'un déjeuner.
I remember that.	Je me souviens de cela.
Stop gawking.	Arrête de bayer aux corneilles.
Good job!	Bon boulot !
Is Tom safe?	Tom est-il en sécurité ?
I'll trust you.	Je te ferai confiance.
Tom waved.	Tom a fait signe de la main.
I love you both.	Je vous aime toutes les deux.
I know the boy.	Je connais ce garçon.
Just try it out.	Fais-en simplement l'expérience.
Lead the way.	Montre le chemin.
I met them.	Je les ai rencontrés.
I like picnics.	J'aime bien les pique-niques.
You're joking!	Vous plaisantez !
They want more.	Elles en veulent davantage.
Congratulations!	Bravo!
Get some sleep.	Prenez un peu de sommeil.
I have to think.	Je dois réfléchir.
Be careful!	Soyez prudentes !
She's a model.	C'est un mannequin.
Take care of it.	Prenez-en soin !
Stir the soup.	Touille la soupe !
Don't leave!	Ne pars pas !
That's doable.	C'est faisable.
He's depressed.	Il est déprimé.
Be friendly.	Soyez amicaux !
I'm dancing.	Je suis en train de danser.
I'm just tired.	Je suis seulement fatigué.
Cows eat grass.	Les vaches se nourrissent d'herbe.
We're pooped.	Nous sommes crevées.
Wipe your eyes.	Essuie-toi les yeux.
Tom hates you.	Tom te hait.
Don't be sorry.	Ne soyez pas désolés !
I oppose it.	Je m'y oppose.
Who's at home?	Il y a qui à la maison?
It's pretty bad.	C'est assez mauvais.
I cut classes.	J'ai séché les cours.
I didn't look.	Je n'ai pas regardé.
I love French.	J'adore le français.
I sure hope so.	Je l'espère vraiment.
Who vanished?	Qui s'est éclipsé ?
Get your gear.	Va chercher ton matériel !
Please help Tom.	Aidez Tom, s'il vous plaît.
I love your car.	J'aime votre voiture.
You're not bad.	Tu n'es pas mal.
I ran upstairs.	Je courus à l'étage.
I will walk.	Je marcherai.
You are late.	Vous êtes en retard.
Be nice to her.	Sois gentil avec elle.
He's a gambler.	C'est un joueur.
Stop whining.	Arrête de geindre.
I didn't know.	Je ne savais pas.
It's a rule.	Il s'agit d'une règle.
I felt scared.	Je me suis sentis apeuré.
Sleep tight.	Dors bien.
It works well.	Ça fonctionne bien.
You've done it!	Tu l'as fait !
I live here now.	Je vis ici, désormais.
I'm not worried.	Je ne me fais pas de souci.
Lock your door.	Verrouillez votre porte !
I want kids.	Je veux des enfants.
We all change.	Nous changeons toutes.
We're reading.	Nous lisons.
How wide is it?	De quelle largeur est-ce ?
Tom has a dog.	Tom a un chien.
I have to do it.	Je dois le faire.
Tom's alone.	Tom est seul.
Am I late?	Suis-je en retard ?
They all knew.	Elles savaient toutes.
Let me check.	Laisse-moi contrôler.
Life is fun.	La vie est amusante.
I called them.	Je les ai appelées.
I need to stop.	Il faut que j'arrête.
I found it.	Je le trouvai.
How much is it?	Combien ça coûte ?
I'm just tired.	Je suis simplement fatigué.
Can you see?	Arrives-tu à voir ?
Beats me.	J'en sais foutre rien.
I feel ashamed.	Je me sens honteuse.
He touched me.	Il m'a ému.
Come back later.	Reviens plus tard.
I saw them.	Je les ai vues.
I've seen that.	Je l'ai vu.
I'm staying.	Je reste.
They look sad.	Ils ont l'air triste.
I like sleeping.	J'aime dormir.
We talked.	Nous discutâmes.
Did I miss much?	Ai-je beaucoup loupé ?
Help me.	Aidez-moi.
Let's try it.	Essayons-le.
I love books.	J'adore les livres.
He dumped me.	Il m'a plaquée.
We're all safe.	Nous sommes tous en sécurité.
You're nuts!	Vous êtes dingues !
You are early.	Vous êtes matinal.
I bought it.	Je l'ai acheté.
Take no chances.	Ne prenez aucun risque !
Talk to me!	Parlez-moi !
Stop that.	Arrête ça !
It's ready.	C'est prêt.
He sang a song.	Il a chanté une chanson.
I forgot.	J'ai oublié.
I'll stand.	Je resterai debout.
I hate to wait.	J'ai horreur d'attendre.
I wear glasses.	Je porte des lunettes.
We can try it.	Nous pouvons essayer.
I understood.	J'ai compris.
I'm famished.	Je suis affamé !
I made plans.	J'ai élaboré des plans.
Tom's glad.	Tom est content.
Write me.	Écrivez-moi !
You were shy.	Vous étiez timide.
I trust her.	Je lui fais confiance.
Who hired you?	Qui vous a recrutés ?
He let us go.	Il nous a laissées nous en aller.
What's wrong?	Qu'est-ce qui ne va pas ?
It's perfect.	C'est parfait.
I phoned.	J'ai téléphoné.
Forget it.	Oublie-le !
I had to work.	Il m'a fallu travailler.
We talked.	Nous avons discuté.
My TV is broken.	Ma télé est cassée.
I want to talk.	Je veux discuter.
I like dogs.	J'aime les chiens.
Don't be long.	Ne sois pas long.
Are you happy?	Êtes-vous contentes ?
She went out.	Elle est partie.
He's a bit shy.	Il est un peu timide.
That's right.	C'est exact.
Leave it.	Laissez tomber !
She is late.	Elle est en retard.
I'm ready to go.	Je suis prête pour partir.
You're rich.	Vous êtes riches.
It's just money.	Il ne s'agit que d'argent.
Let's go by bus.	Allons-y en bus.
No one got hurt.	Personne n'a été blessé.
Ignore Tom.	Ignore Tom.
Don't smile.	Ne souriez pas.
It's lost.	C'est perdu.
Stay down!	Reste baissé.
Don't fret.	Te tracasse pas.
It's about time.	Il est temps !
Let's continue.	Continuons !
Dig a deep hole.	Creuse un trou profond.
It was snowing.	Il neigeait.
I can't see.	Je ne parviens pas à voir.
I'm certain.	Je suis certain.
I need a drink.	Il me faut un verre.
Do you miss it?	Ça te manque ?
I know CPR.	Je connais la RCP.
He mentioned it.	Il l'a mentionnée.
We're tired.	Nous sommes fatiguées.
I can jump.	Je peux sauter.
Just leave it.	Laisse-la.
I take it back.	Je le reprends.
I'm tough.	Je suis dure à cuire.
I envy her.	Je l'envie.
I fed the dog.	Je nourris le chien.
Let me check.	Laisse-moi vérifier.
We all knew it.	Nous le savions tous.
I wouldn't care.	Je ne m'en préoccuperais pas.
Tom's polite.	Tom est poli.
Hurry up, girls.	Pressons, les filles !
Take a look.	Regarde !
I want that job.	Je veux ce boulot.
Make it quick.	Fais vite !
No one knew.	Personne ne savait.
Is it all wrong?	Est-ce entièrement mal ?
What a loser!	Quel naze !
Tom stutters.	Tom bégaie.
They're boring.	Elles sont ennuyeuses.
Check that.	Vérifie ça.
I need it.	J'en ai besoin.
No one panicked.	Personne n'a paniqué.
Don't tease me.	Ne me taquinez pas !
He denied it.	Il le refusa.
Stop dreaming.	Arrêtez de rêver.
I've had enough.	J'en ai par-dessus la tête.
I feel trapped.	Je me sens piégée.
He's a bigot.	C'est un sectaire.
You've won!	Vous avez gagné !
She walks.	Elle marche.
I met Tom there.	J'ai rencontré Tom là-bas.
Aren't we lucky?	Ne sommes-nous pas chanceuses ?
Air the futon.	Aère le futon !
I'm reading.	Je lis.
I believe you.	Je vous crois.
I borrow money.	J'emprunte de l'argent.
Don't lose hope.	Ne perds pas espoir.
Should I go?	Devrais-je y aller ?
I let them go.	Je les ai laissées partir.
You are late.	Tu es en retard.
Now drink up.	Maintenant, buvez d'un coup !
Are you dressed?	Êtes-vous habillée ?
How is your dad?	Comment va votre papa ?
I feel good.	Je me sens bien.
You're young.	Vous êtes jeunes.
We caught you.	Nous vous avons attrapés.
I could help.	Je pourrais aider.
I slept all day.	J'ai dormi toute la journée.
You're silly.	Vous êtes idiotes.
Let's pray.	Prions !
Tom jumped.	Tom sauta.
Watch my back.	Surveille mes arrières !
I'm terrified.	Je suis terrifié.
Let's go!	Allons-y !
I'm a hero.	Je suis un héros.
I like sugar.	J'aime le sucre.
Who hired you?	Qui t'a recrutée ?
I paid nothing.	Je n'ai rien payé.
I was hired.	J'ai été engagé.
No one can say.	Personne ne peut le dire.
No, you can't.	Non, tu ne peux pas.
I had no doubts.	Je n'eus aucun doute.
Let's stop here.	Arrêtons-nous là.
Be punctual.	Soyez ponctuels !
Tom is chubby.	Tom est dodu.
How are you?	Comment ça va ?
Adjust your tie.	Ajuste ta cravate !
She's a dog.	C'est une enfoirée.
Let me see that.	Montrez-moi ça.
I'm a minister.	Je suis ministre.
Isn't it black?	N'est-ce pas noir ?
Tom is vulgar.	Tom est grossier.
Can I see that?	Puis-je voir ça ?
Can we fix this?	Pouvons-nous arranger ça ?
She hugged him.	Elle l'a enlacé.
Is this love?	Est-ce l'amour ?
I messed up.	J'ai mis le souk.
You're sick!	Vous êtes malade!
I didn't drive.	Je n'ai pas conduit.
We lost.	Nous fûmes défaites.
That's evident.	C'est visible.
Take a seat.	Prends place !
Speak quietly.	Parle à voix basse.
I may be wrong.	Il se peut que j'aie tort.
I hurried.	Je me suis dépêchée.
Anybody see you?	Quiconque t'a vu ?
I'm creative.	Je suis créatif.
I had no money.	J'étais démuni.
I'm humble.	Je suis humble.
You're lost.	Tu es perdue.
There he is.	Le voici.
I'm bluffing.	J’y vais au flan.
I hate dogs.	Je hais les chiens.
Stop dreaming.	Arrête de rêver.
Keep still.	Restez tranquille !
Tom was stoned.	Tom était stone.
I'm faithful.	Je suis fidèle.
Back off.	Reculez.
She grew roses.	Elle fit pousser des roses.
I have won.	Je l'ai emporté.
What are these?	Qu'est-ce que c'est ?
I want to cry.	J'ai envie de pleurer.
Let's wait here.	Attendons ici !
Are you there?	Vous êtes là ?
I'll watch TV.	Je vais regarder la télé.
You're not fat.	Vous n'êtes pas gros.
Make me happy.	Rendez-moi heureux.
He's annoying.	Il est embêtant.
I can't move.	Je ne peux pas bouger.
You're a doll!	Tu es un amour !
That's evident.	C'est évident.
I need that.	Il me faut ça.
You're grumpy.	Tu es bougonne.
Check it out!	Vérifie !
He denied it.	Il l'a refusé.
No one noticed.	Personne ne l'a remarqué.
You're safe.	Vous êtes sauf.
I outrank you.	Je passe avant toi.
Stand aside.	Écarte-toi.
I didn't care.	Je n'ai pas fait attention.
I designed it.	Je l'ai conçu.
That is his car.	C'est sa voiture.
I exercised.	Je me suis entraîné.
I'm inside.	Je suis à l'intérieur.
You're not fit.	Vous ne convenez pas.
Stay thin.	Reste mince !
Have a seat.	Prends place.
I'm drunk.	Je suis ivre.
I saw them.	Je les ai vus.
Awesome!	Fantastique !
What is this?	Qu'est-ce que c'est ?
I'm eating here.	Je mange ici.
He has ten cows.	Il possède dix vaches.
Welcome home.	Bienvenue à la maison.
I want justice.	Je veux la justice.
Don't attack me.	Ne m'attaque pas !
Should we worry?	Devrions-nous nous en faire ?
Where's my son?	Où est mon fils ?
I'm not fat.	Je ne suis pas gros.
Give me a hand.	Prêtez-moi main forte !
I want that.	Je le veux.
He just left.	Il vient de partir.
It's dangerous!	C'est dangereux !
We won.	Nous avons gagné.
Can I see this?	Puis-je voir ceci ?
Nobody answered.	Personne n'a répondu.
I've upset you.	Je vous ai contrariée.
Wash your face.	Lavez-vous le visage.
Is Tom OK?	Est-ce que Tom va bien ?
Have a nice day.	Je vous souhaite le bonjour !
They're cops.	Ce sont des flics.
Who built it?	Qui l'a bâtie ?
It's obvious.	C'est évident.
I'm dieting.	Je suis au régime.
I love reading.	J'adore lire.
I'm a coward.	Je suis un couard.
Please take one.	Prends-en un, je te prie.
It's not stupid.	C'est pas con.
She is a typist.	C'est une dactylographe.
I'm not a kid.	Je ne suis pas un gamin.
I'm feeling fit.	Je me sens en forme.
What's this?	C'est quoi ?
It looks good.	Ça a l'air bien.
Seriously?	Est-ce sérieux ?
I need to study.	J'ai besoin d'étudier.
My work is done.	Mon travail est fait.
Can you skate?	Sais-tu patiner ?
He was alone.	Il était seul.
I wanted to die.	Je voulais mourir.
This is new.	C'est nouveau.
No means no.	« Non », ça veut dire « non ».
Out of my way!	Hors de mon chemin !
I met a friend.	J'ai rencontré un ami.
Hi.	Salut.
I like running.	J'aime faire du jogging.
I can't give up.	Je ne parviens pas à admettre ma défaite.
She's depressed.	Elle est déprimée.
She helped him.	Elle l'aida.
She is Canadian.	Elle est canadienne.
I have immunity.	Je dispose de l'immunité.
Is Tom jealous?	Tom est-il jaloux ?
Just sign this.	Signez juste ceci.
Take a bite.	Croque !
Can we do it?	Peut-on le faire ?
I baked cookies.	J'ai confectionné des biscuits.
Jesus wept.	Jésus a pleuré.
I have no proof.	Je n'ai pas de preuve.
Tom got weak.	Tom est devenu faible.
I'm a farmer.	Je suis fermier.
They hated Tom.	Ils haïssaient Tom.
They're dying.	Ils sont en train de mourir.
Do you smoke?	Tu fumes ?
I rang the bell.	J'ai fait sonner la cloche.
Keep working.	Continuez à travailler !
You're in luck.	Vous êtes veinardes.
Boil some water.	Fais bouillir un peu d'eau.
I remember you.	Je me souviens de toi.
Go home now.	Va chez toi, maintenant.
You look busy.	Vous avez l'air occupés.
She's a fox.	C'est un renard.
This is hers.	Ce sont les siennes.
She tied him up.	Elle l'attacha.
Don't ask me.	Ce n'est pas à moi qu'il faut le demander.
It's new.	C'est neuf.
You look smart.	Vous avez l'air intelligentes.
Save me a seat.	Réserve-moi un fauteuil.
It's too thin.	C'est trop fin.
Do it right.	Fais-le comme il faut !
Get to bed.	Allez au lit !
Are we lost?	Sommes-nous perdus ?
He resigned.	Il démissionna.
Are you angry?	Êtes-vous en colère ?
That could work.	Cela pourrait fonctionner.
Thanks.	Merci !
I don't belong.	Je ne m'insère pas.
Were you hurt?	Avez-vous été blessés ?
Tom is voting.	Tom vote.
Be content.	Soyez satisfaites !
Are you busy?	Êtes-vous occupées ?
I will work.	Je travaillerai.
How is Tom?	Comment va Tom ?
What a bore!	Quelle emmerdeuse !
I made coffee.	J'ai préparé du café.
Who won today?	Qui a gagné aujourd'hui ?
Are they dead?	Sont-elles mortes ?
You're clever.	Vous êtes malin.
Could I do it?	Serais-je capable de le faire ?
They look cool.	Ils ont l'air calmes.
I caught a carp.	J'ai attrapé une carpe.
I'll pay for it.	Je le paierai.
You have mail.	Tu as du courrier.
Were you there?	Y étiez-vous ?
We try.	On essaye.
Is Tom drunk?	Tom est-il saoul ?
I need more.	Il m'en faut plus.
Have a nice day!	Bonne journée !
I stood.	Je me suis tenue debout.
He is poor.	Il est pauvre.
Don't be naive.	Ne sois pas naïve !
You aren't Tom.	Tu n'es pas Tom.
I don't see how.	Je ne vois pas comment.
They look cool.	Elles ont l'air calmes.
I envy Tom.	J'envie Tom.
No problem!	Pas de problème !
Drop it!	Laissez-le tomber !
Have you eaten?	Tu as mangé ?
That is her car.	C'est son véhicule.
Can I sit down?	Puis-je m'asseoir ?
I am a runner.	Je suis un coureur.
Let's start now.	Commençons maintenant.
We all cried.	Nous avons tous pleuré.
It's already 11.	Il est déjà onze heures.
You seem happy.	Tu sembles heureuse.
I'm impatient.	Je suis impatient.
It'll break.	Ça va se biser.
Did you like it?	L'avez-vous aimé ?
I felt excited.	Je me suis senti énervé.
I have nothing.	Je n'ai rien.
Tom took it.	Tom l'a pris.
Great, isn't it?	Formidable! Pas vrai?
Are you sure?	Êtes-vous sûres ?
I was intrigued.	J’étais intriguée.
I'll get you.	J'irai vous chercher.
Who'll go?	Qui ira ?
Are you hurt?	Vous êtes-vous blessés ?
Are we ready?	Sommes-nous prêtes ?
Keep trying.	Continue d'essayer.
She worked hard.	Elle a travaillé dur.
Can I come?	Puis-je venir ?
I live here.	J'habite ici.
May I interrupt?	Puis-je t'interrompre ?
Are you home?	Es-tu chez toi ?
Who hired you?	Qui vous a recrutées ?
She went inside.	Elle est rentrée.
I'm getting old.	Je me fais vieux.
I have hives.	J'ai de l'urticaire.
They obeyed.	Elles ont obéi.
I got rid of it.	Je m'en suis débarrassé.
I'm very short.	Je suis très petit.
You're invited.	Vous êtes invitées.
I lost interest.	Mon intérêt s'est dissipé.
Turn it up.	Augmente-le.
She is French.	Elle est Française.
